csho,invt,ap,act,sale,xint,re,che,at,dlc,dltt,lt,cogs,ivao,ceq,ni,sstk,dp,ppegt,txp,txt,lct,ib,rect,prcc_f,ivst,dltis,key_board_percent_independent,num_independent,board_size,misstate
16.227,51.051,14.343,102.897,253.567,5.782,-3.111,0.415,241.908,0.642,34.997,89.523,155.892,0,152.385,1.562,95.888,10.898,101.345,3.397,9.653,33.114,11.989,47.296,20.25,0,15,0,3,3,0
26.27,64.796,38.313,196.025,330.758,3.531,4.632,117.948,292.566,5.428,36.867,100.418,241.349,0,192.148,4.853,127.21,8.641,103.083,0,2.551,58.504,4.62,10.042,33.75,0,0,0.5,0,1,0
17.164,0.683,13.377,65.529,11.89,0.866,-12.4,63.2,146.18,1.25,5.25,25.316,8.683,0,120.864,-8.117,114.364,1.762,31.581,0,0,17.854,-7.784,1.452,28,44.881,13.26,0,2,2,0
6.772,0.673,0.656,5.513,6.37,0.132,0.019,1.18,9.376,0.271,0.893,3.191,3.639,0,6.185,-1.005,8.114,0.503,4.344,0.195,-0.45,2.298,-1.005,2.626,5.75,0,0,0,0,1,0
5.736,0,0.747,25.888,44.586,0.202,6.944,10.763,30.954,0.234,0.119,9.292,28.3,0,21.662,4.23,15.134,0.977,6.36,0.911,2.644,7.643,4.23,12.23,17.5,0,0,0,3,3,0
9.169,9.916,2.055,45.845,56.045,0.479,2.269,18.833,49.183,0,0,4.553,25.052,0,44.63,11.358,38.465,0.912,5.129,0.829,1.701,4.553,11.358,15.268,27.25,10.718,27.772,0,2,2,0
3.376,1.426,3.103,13.597,15.651,0.185,-2.663,0.278,18.874,2.495,2.387,8.846,8.019,0,10.028,-2.292,0.036,0.619,7.461,0,-0.364,6.459,-2.388,11.515,13.25,0,3.612,0,0,1,0
6.827,0.287,4.007,28.481,35.104,0.153,-0.168,26.675,51.343,0.197,0.8,7.356,28.268,1,43.986,1.939,31.88,1.91,23.423,0,0.369,6.556,1.939,0.931,28.25,15.245,0,0,2,2,0
3.724,0.613,0.187,5.367,2.706,0.119,-3.479,4.32,6.213,0.661,0.115,1.21,1.326,0,5.003,-1.413,6.618,0.2,0.89,0,0,1.095,-1.413,0.375,4,0,0.255,0,1,3,0
1.729,0,0.195,2.426,2.249,0.109,-0.869,2.282,4.722,0,0,0.633,1.101,0,4.089,-0.062,5,0.296,3.038,0,-0.032,0.633,-0.062,0.092,15.25,0,0,1,1,1,0
16.549,0,17.307,88.325,60.178,0.054,25.807,65.045,183.683,0.24,0.446,30.838,7.096,0,152.845,14.028,57.648,25.116,142.854,0,7.753,18.057,14.028,21.839,17.625,0,0,0,0,1,0
5.322,1.268,0.354,6.179,3,0.435,-5.271,4.278,6.46,0,0,0.57,2.094,0,5.89,-3.304,6.324,0.144,0.336,0,0.001,0.57,-3.304,0.56,3.375,0.95,4.007,0,0,1,0
2.675,1.133,0.919,3.629,26.296,0.765,-0.934,1.065,4.94,0.018,0.015,1.054,19.514,0,3.886,-0.611,6.362,0.736,0.648,0,-0.35,1.039,-0.611,1.326,6.5,0,0,0,1,2,0
2.84,0.077,0.152,1.552,6.692,0.069,-1.185,1.439,4.869,0.078,1.289,1.678,1.689,0,2.598,-0.472,0.22,0.259,3.4,0,0.006,0.389,-0.472,0,6.25,0,0.639,0,3,3,0
23.074,1.15,0.946,48.811,2.419,0,-21.628,46.43,50.097,0,0,2.693,1.926,0,47.404,-7.66,46.08,0.271,1.356,0,0,2.693,-7.66,0.948,10.125,7.666,0,0,5,6,0
2.845,7.442,16.189,29.71,65.181,0.525,1.124,3.982,30.023,6.722,0.094,23.776,56.768,0,6.247,0.701,4.758,0.108,0.45,0.303,0.442,23.682,0.701,17.938,5.625,0,0,0,1,3,0
12.861,73.952,70.127,323.219,1008.12,2.345,7.398,43.509,1082.103,0,0,850.849,882.52,0.313,31.254,-505.493,0,80.656,1333.252,0.58,126.617,262.07,-285.718,202.433,13.25,0,16.4,0,1,2,0
5.826,15.743,10.28,29.512,58.326,1.267,0.047,0,44.92,9.45,10.653,30.383,42.538,0,14.537,4.03,8.375,0.977,19.624,0,0.446,19.73,4.03,13.533,8.5,0,14.79,0,0,1,0
2.738,5.928,2.733,13.85,36.69,0.528,0.1,0.003,17.838,0.909,3.807,9.327,30.076,0,8.511,1.862,4.51,0.362,4.487,0.266,0.527,5.101,1.862,7.149,7.5,0,0.389,0,1,3,0
18.508,-2.683,28.283,119.811,286.068,2.331,44.651,21.664,185.016,8.002,15.367,108.23,188.141,20.493,73.394,9.515,0.257,8.806,80.082,13.1,7.594,84.981,12.986,93.601,9.38,0,6.251,0.333333333,2,3,0
5.551,5.175,5.927,14.266,44.902,0.104,-3.711,2.854,22.613,0.278,1.156,8.998,26.179,0,13.615,-4.749,0,2.068,13.367,0,-0.028,7.842,-4.749,6.007,6.75,0,0,0,2,2,0
9.456,0,0.634,16.708,0,0,-38.393,1.122,20.038,0,0,1.617,0,0,18.421,-7.364,0,1.708,10.975,0,0,1.457,-7.364,15.1,7.13,0.391,0,0.333333333,3,4,0
105.248,597.937,787.782,6371.738,9231.687,84.667,5208.303,3094.573,14493.951,79.609,847.311,7455.083,4542.143,2168.593,6939.92,522.964,0,591.217,10119.409,414.552,664.086,4496.855,522.964,2132.989,112.25,1398.829,55.083,0,5,6,0
7.765,0,0.768,5.61,13.555,0.025,-5.319,1.768,10.394,0.076,0,1.874,12.029,0,8.519,-0.978,1.952,0.413,1.189,0,0,1.874,-0.978,3.68,2.5,0.925,0,0,3,4,0
23.984,0,14.138,8.928,13.859,1.567,-5.307,0.172,76.133,0,38.517,53.016,2.94,0,23.117,-0.846,13.569,5.76,77.627,0,0.103,14.138,-0.846,8.619,2.984,0,35.548,0.166666667,3,4,0
12.437,1.546,1.759,5.924,19.912,0.349,0.011,0.065,9.659,3.217,0.868,6.329,15.484,0,3.33,0.503,0.608,0.893,8.939,0,0,5.461,0.503,4.099,1.812,0,1.731,0,4,5,0
10.774,0,0.75,6.643,0.3,0,-69.601,6.269,9.33,0,0,3.149,14.504,0,6.181,-14.885,13.253,1.082,6.363,0,0,3.149,-14.885,0,4.25,0,0,0,1,2,0
19.236,0,1.367,97.452,0.522,0.473,-85.861,94.432,106.367,1.712,4.669,19.636,42.655,0,86.731,-39.537,8.646,2.119,15.599,0,0,14.967,-39.537,0,11,91.794,3.373,1,5,6,0
4.238,0,2.357,31.07,95.783,0,11.585,13.211,43.965,0,0,8.211,76.615,0,35.754,5.885,2.544,2.335,14.92,0,3.762,6.985,5.885,15.868,28.25,0,0,0.333333333,0,1,0
